,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AK,404044.35277197,6279532.9710833775,459484.0201714119,396937.94091637805,326018.7589794702,496571.8072367078,499202.39193078707,683994.860777661,3796858.8249811516,4551597.87369326,4345712.421295672
AL,7900389.747201789,7183014.659770251,7749472.943976677,8651287.47419821,8648254.492220027,7872479.598339589,7003239.6327220425,7913181.782543421,9741477.292672114,16041739.78603192,10725575.456035227
AR,3527302.7080865637,5159968.136706133,4733090.64958411,3851995.068197565,4209441.693157594,3419441.450789993,3021883.1632231353,1474831.4999865282,1568080.0467513113,1829067.564594768,2636956.3072983013
AS,15.18,14.399999999999999,16.98,16.71,13.98,13.830000000000002,4279.38,2257.1699999999996,2845.17,2385.5999999999995,1296.6000000000001
AZ,2382111.6996900113,2614854.9275201163,1388064.5206973723,976379.8491380927,866487.7073166111,1147125.1645712622,2211640.7241736245,1057953.3288746425,1573672.5551946603,1328656.5018008335,995377.0105405562
CA,4428461.807860722,5554728.052532625,8630861.00868876,6929010.50050275,7703396.741428345,5598101.668762136,3470998.008021499,9927660.8649346,4847275.628001818,4912577.590731392,6022927.12213175
CO,2961663.9782113996,2523078.725600611,2048699.2605621924,1300834.875858834,2849667.0148796854,1825774.0032426682,2136733.486207032,1137153.1952333665,2203547.4181536767,1186980.209833899,861473.2069208479
CT,920525.8411890615,1002957.9686775797,719972.4420407997,809097.613157821,924135.716799134,1134345.3388157913,641413.9441781157,550325.812911941,536152.3451313811,488148.28748564207,641992.1727384245
DC,14690.188231799999,13794.789423799997,18275.893585867,9662.2148916,17224.746032868,10684.333572280002,17092.73435552,1543932.8384377803,1147414.1706080902,24955.6022481,9741.244969667001
DE,700650.082438955,771456.931312119,634317.1645477281,518876.3908258731,716697.15263548,1961565.2410409255,1197754.84333657,870913.4965469448,1074860.556637344,1255322.832636669,944644.5654875572
FL,2665371.750223309,2297988.851534026,1635236.5212661575,1021703.9905547913,1007476.1500203032,970484.0335268573,1029186.1939893272,849811.0240976478,933177.6732441509,800379.7993657249,871765.1956689119
GA,2117443.2606398296,2810769.2982037966,2216819.2063093404,1925899.095172361,1802062.623703119,1612393.972478341,1666494.303799379,1693138.5468976537,1661455.8918358427,1671650.5307685274,1568151.267210519
GU,9823.186524870001,10663.9681014,28918.630216499994,17840.48527175,12255.259340749999,10744.044542799998,18465.231897734007,12335.808821745999,18931.12856768,20005.309583534,17901.5664317
HI,202089.509338267,257274.70448931906,225238.152765713,337333.5141961668,154640.253013159,132417.82844532994,149193.07606438102,152057.52427338605,184323.21365105297,117640.52953016598,163493.51694519597
IA,1835102.1844899599,1723503.090883335,1678546.3593323615,1430227.5993274269,1594538.6092237856,1262167.066199989,1284168.5880593788,2702654.260649523,3863707.1829664405,4993527.252604757,5974921.773510166
ID,9243250.57044009,8314098.272218596,6488624.706094654,5002176.0522129405,3891026.394648581,6389094.5094481185,5188870.740035751,4024046.803648085,3463958.803903687,6270988.257130205,5896188.108935645
IL,2927248.3858191427,2947582.826152183,1771944.946402769,1410635.043465423,1487816.892826013,10804320.080197286,28647754.214271408,22740189.857488405,21677269.076745987,40221620.36470547,23984535.55708782
IN,2477504.3815333117,2639432.90919712,2025923.1246542812,1660756.1164035918,2116407.764839462,2226304.415436271,2697197.4948304347,2473433.488798978,2350684.1871273397,2001394.0040388773,2239022.513956181
KS,3759594.413833177,3176317.3277137745,2910686.6871223734,2775720.2346251924,2929065.7959921607,5037150.195248066,3698731.370633356,5965799.482084987,9278934.41505023,5221211.755179489,6705213.905344749
KY,11529749.826899309,4159546.5076812427,2925071.147377564,3706849.914620654,4530375.476898696,4933908.993462995,4064532.4042748897,3724816.5578214116,4014503.184389312,2807950.954734171,3459489.1619221806
LA,22794598.119569927,22674973.866670903,21676027.76437365,19255935.507232144,22708880.414749674,23357945.4720383,21840270.940379713,19151399.327110607,15691651.100690054,15943476.137191653,16914391.53074151
MA,5971923.098249644,3914863.139323778,5416653.130449331,3259676.7613468557,3296878.286482202,3965975.2450807975,3823033.5728520495,2775442.51519462,2398154.11499642,2399391.113476453,2396146.7002989976
MD,1028845.4811069795,1029225.434255507,880651.4077712918,831666.9436501822,781296.9375846682,848717.8777876254,934837.6231144111,787763.1553947552,838782.0129020475,931343.3938860198,921536.8983006229
ME,497488.5676832679,509124.1584788241,394598.97284911404,406263.23770986096,357079.173631765,322013.56889741204,324136.0825576839,361679.81612218113,410199.7221734529,383481.4787184929,409870.52225255204
MI,4611564.305223332,6291950.606567926,7932052.416984141,7213898.010127268,9939159.585718675,9370233.813904248,5769406.703937259,5637267.983693081,5699984.066119049,13373249.2112394,14192063.586294021
MN,1037419.8178504899,1057139.291811796,981243.198149579,670422.7114555603,782819.035225044,824943.769583269,747175.5003383054,1627365.267514974,928115.7011381433,895191.5950268978,884950.0366127522
MO,3035626.70538746,2478106.599690738,3278595.4788166243,2616590.1168318195,1920988.4162650872,1944120.799286955,2845856.8621065337,3080524.6853903197,2113869.05404762,1361646.3243730345,1277544.0025420396
MP,865.906000003,2041.395333332,1508.7784699999997,1230.583333337,1869.5587143400003,2005.4986666,3498.61442853,1552.6553333629997,1847.6036667,1811.5824999999995,1313.4370237840003
MS,3005020.292709741,4019192.2232187316,3200793.7999386247,2229639.535479369,1584515.6326894439,1356043.7824666442,1802407.9737619306,2596020.574293447,1396729.6291616876,1151060.5607030846,1355959.042698072
MT,2509745.631106824,1367226.435123284,1237221.2093937784,915212.4023047014,1036709.4777400926,986908.2072853773,1693679.5361149728,1200018.3030434432,1302555.6816849066,1691577.481776517,1326890.1339485503
NC,1721138.5133386636,1458948.4134117106,1274964.3280611793,964237.2810548828,1513014.1880112665,1983943.800452021,1769188.8440402274,1754185.5474062099,3332975.4843206718,2167308.192548639,2334481.943472983
ND,634994.0684589362,645119.901708495,696501.5385310011,389139.1038210389,561597.9868839598,605619.877508576,795154.2187212256,3198683.5545189804,625333.1155359972,525307.0379700182,748676.0572703991
NE,780379.1423423429,1424030.8626379122,1340444.2615009628,967695.9146318131,613517.8742152071,865436.4862503079,669883.3761861201,748441.5377474895,1272514.1463895016,1075755.9977212453,1480376.1943971103
NH,256720.01752631902,216484.002976049,179082.990724544,177697.5574421619,199221.16820363703,194918.20339840295,207196.97708137502,269715.04935162596,259956.6713175771,269979.44154849503,288024.27199446055
NJ,3315907.7972942847,2992625.3344642194,2685297.8777172104,1712168.1214188812,1880127.879767931,2336706.4803179856,1765280.74031777,2138903.496080308,3168902.383165404,2260337.4727967693,1943014.1669692132
NM,2093822.644046422,431478.55827427795,531048.0145464968,425332.38924156997,400952.938110514,470457.4581684459,636381.2771000632,888595.6280200682,459131.1534612651,347589.7808634841,289551.51498366706
