Src,Dst,Wght
0,1,0.3091
0,2,0.326
0,3,0.1375
0,4,0.2358
0,5,0.1451
0,6,0.1306
0,7,0.3936
0,8,0.0481
0,9,0.4265
0,10,0.3178
0,11,0.1764
0,12,0.3778
0,13,0.3781
0,14,0.4145
0,15,0.4022
0,16,0.3087
0,17,0.0328
0,18,0.3712
0,19,0.131
0,20,0.4074
0,21,0.4299
0,22,0.4397
0,23,0.3675
0,24,0.3953
0,25,0.3321
0,26,0.4112
0,27,0.3002
0,28,0.335
0,29,0.4199
0,30,0.0805
0,31,0.133
0,32,0.146
0,33,0.2265
0,34,0.3612
0,35,0.3792
0,36,0.36
0,37,0.531
0,38,0.0933
0,39,0.1209
0,40,0.4029
0,41,0.3422
0,42,0.3371
0,43,0.4506
0,44,0.049
0,45,0.3511
0,46,0.4174
0,47,0.5492
0,48,0.4034
0,49,0.4009
0,50,0.1316
1,2,0.7222
1,3,0.3496
1,4,0.3279
1,5,0.3009
1,6,0.3052
1,7,0.6607
1,8,0.3651
1,9,0.6212
1,10,0.6597
1,11,0.3266
1,12,0.7247
1,13,0.6324
1,14,0.7108
1,15,0.6141
1,16,0.7695
1,17,0.3431
1,18,0.722
1,19,0.3037
1,20,0.6107
1,21,0.6025
1,22,0.6164
1,23,0.7365
1,24,0.7472
1,25,0.892
1,26,0.674
1,27,0.7131
1,28,0.7499
1,29,0.7036
1,30,0.4121
1,31,0.3005
1,32,0.3715
1,33,0.3251
1,34,0.6556
1,35,0.6121
1,36,0.7174
1,37,0.6291
1,38,0.3198
1,39,0.3176
1,40,0.6038
1,41,0.7066
1,42,0.8004
1,43,0.7006
1,44,0.4092
1,45,0.6603
1,46,0.601
1,47,0.6063
1,48,0.7093
1,49,0.6016
1,50,0.3171
2,3,0.3241
2,4,0.3315
2,5,0.3274
2,6,0.3351
2,7,0.6957
2,8,0.3279
2,9,0.6262
2,10,0.6213
2,11,0.3222
2,12,0.7434
2,13,0.6205
2,14,0.7614
2,15,0.6272
2,16,0.7128
2,17,0.3296
2,18,0.7566
2,19,0.3361
2,20,0.6171
2,21,0.6134
2,22,0.6243
2,23,0.718
2,24,0.7329
2,25,0.7357
2,26,0.6235
2,27,0.6258
2,28,0.7204
2,29,0.7028
2,30,0.3425
2,31,0.3343
2,32,0.319
2,33,0.36
2,34,0.6834
2,35,0.6351
2,36,0.72
2,37,0.6369
2,38,0.3446
2,39,0.3276
2,40,0.6226
2,41,0.7387
2,42,0.7225
2,43,0.7163
2,44,0.3663
2,45,0.6188
2,46,0.6133
2,47,0.7064
2,48,0.7699
2,49,0.6154
2,50,0.379
3,4,0.4829
3,5,0.5874
3,6,0.4666
3,7,0.419
3,8,0.3697
3,9,0.4383
3,10,0.3992
3,11,0.3752
3,12,0.4802
3,13,0.5794
3,14,0.447
3,15,0.424
3,16,0.3131
3,17,0.3271
3,18,0.4045
3,19,0.439
3,20,0.3959
3,21,0.4218
3,22,0.4896
3,23,0.3751
3,24,0.4045
3,25,0.3336
3,26,0.6367
3,27,0.3398
3,28,0.3484
3,29,0.4104
3,30,0.4977
3,31,0.4971
3,32,0.9324
3,33,0.5304
3,34,0.4842
3,35,0.4316
3,36,0.3649
3,37,0.5249
3,38,0.4448
3,39,0.4272
3,40,0.4285
3,41,0.4649
3,42,0.3272
3,43,0.4878
3,44,0.5542
3,45,0.3583
3,46,0.4388
3,47,0.448
3,48,0.4155
3,49,0.4158
3,50,0.5157
4,5,0.7464
4,6,0.4484
4,7,0.4145
4,8,0.3661
4,9,0.4279
4,10,0.3839
4,11,0.7985
4,12,0.4277
4,13,0.4605
4,14,0.436
4,15,0.4155
4,16,0.337
4,17,0.339
4,18,0.4042
4,19,0.4769
4,20,0.4337
4,21,0.435
4,22,0.4384
4,23,0.3976
4,24,0.4235
4,25,0.3742
4,26,0.457
4,27,0.3119
4,28,0.3596
4,29,0.4581
4,30,0.405
4,31,0.488
4,32,0.4736
4,33,0.8549
4,34,0.4154
4,35,0.414
4,36,0.3557
4,37,0.5898
4,38,0.4641
4,39,0.4257
4,40,0.4324
4,41,0.3433
4,42,0.3235
4,43,0.4636
4,44,0.7035
4,45,0.3724
4,46,0.4134
4,47,0.5456
4,48,0.4159
