YEAR,STATE_ABBR,AVG_REL_EST_AIR_STACK,AVG_REL_EST_ENERGY_RECOVERY,AVG_REL_EST_RECYCLING,AVG_REL_EST_OTH_DISP,AVG_REL_EST_POTW_NON_METALS,AVG_REL_EST_WATER,AVG_REL_EST_SURF_IMP,AVG_REL_EST_UNINJ_IIV,AVG_REL_EST_AIR_FUG,AVG_REL_EST_LAND_TREA,AVG_REL_EST_WASTE_TREATMENT,AVG_REL_EST_OTH_LANDF,AVG_REL_EST_RCRA_C,AVG_REL_EST_TOTAL_ON_OFFSITE_RELEASE,AVG_REL_EST_UNINJ_I,AVG_REL_EST_SI_5.5.3B,AVG_REL_EST_TOTAL_ONSITE_RELEASE,AVG_REL_EST_SI_5.5.3A,AVG_REL_EST_POTW_RELEASE,AVG_REL_EST_POTW_TREATMENT,AVG_REL_EST_TOTAL,AGE_ADJUSTED_CANCER_RATE,POPULATION,AVG_REL_EST_TOTAL_PER_CAPITA
1999,AK,27014.11594202898,63.5,3350.0,,12590.75,2405.55,,,10504.65,,34.69565217391304,,,,,,,,,,55963.26159420289,505.9,,
1999,AL,55856.15188897455,53807.753036437236,190506.4234875444,251.7727272727273,126951.35227272725,13704.174484052532,273639.5294117647,25301.0,9289.569243840273,6628.64,45495.00921658985,82214.32116788322,324077.2954545455,,,,,,,,1207722.9923916322,425.2,4430141.0,0.2726150234025581
1999,AR,27919.025672371637,142532.82239382234,245430.1,394.1515151515152,91786.8103448276,7941.63829787234,74492.04,27087.5,6742.647571606476,6401.037037037037,20269.68548387097,42381.90277777777,19501.625,,55561.5,,,,,,768442.4860943377,,,
1999,AS,935.3333333333328,501.5,,,,,,,1502.142857142857,,,,,2304.0,,,2304.0,,,,7546.97619047619,,,
1999,AZ,8327.026228070175,40702.46428571427,326196.6256983239,,89121.16417910444,186.84210526315792,,,4575.613362445415,1656.5714285714282,33586.892857142855,92128.81132075467,,,,,,,,,596482.0114653903,422.9,5023823.0,0.11873069800934276
1999,CA,8040.357151676854,60878.178451178435,86985.8,14911.428571428567,91626.4234769688,14835.070858895706,77398.02272727269,2574.333333333333,3046.617295245705,55903.263157894755,42184.83838383837,19062.2,308147.83050847467,,,,,,,,785594.3639162079,466.4,33499204.0,0.02345113525432449
1999,CO,9672.685185185184,91162.5245901639,191105.29545454547,578001.9333333332,85078.67567567565,51428.564516129016,6463.714285714286,47870.66666666665,3395.5627009646314,12062.5,31696.451219512182,113339.87804878045,,,,,,,,,1221278.4516766707,449.6,4226018.0,0.288990357276441
1999,CT,7168.916488222699,20578.623931623933,80667.19551282053,1500.875,65713.4,6183.920731707318,,,3109.07867494824,,65225.528497409316,754.0,,,,,,,,,250901.53883673204,516.3,3386401.0,0.07409091210306519
1999,DC,,,4446.0,,,11.0,,,,,,,,,,,,,,,4457.0,534.6,570213.0,0.007816377388800326
1999,DE,30633.590673575123,28366.040816326535,190132.04081632657,15887.714285714284,132265.83333333328,23035.788461538454,17368.857142857152,,4485.06586826347,7050.5,87324.6075949367,7841.666666666664,,,,,,,,,544391.7056595383,503.2,774990.0,0.7024499743990739
1999,FL,92117.35010482171,29987.543307086602,137909.55015957446,3516.5,141624.80645161294,13311.405714285713,44516.183673469386,,7244.551522248244,32794.695652173905,21242.542857142853,112080.99791666665,165182.75,,1129971.1034482757,,,,,,1931499.9808073582,512.1,15759421.0,0.12256160812046066
1999,GA,72934.4544770504,67339.19256756757,186032.82492581606,15122.923076923069,38711.457142857165,26079.617391304346,123842.11650485439,,6297.888983774555,11827.678571428576,22995.610389610392,8528.203389830509,180.75,,,,,,,,579892.717421017,446.2,8045965.0,0.07207248818768376
1999,GU,25457.7,,,,,,,,6722.388888888885,,,,6.7,,,,,,,,32186.78888888889,,,
1999,HI,16274.16470588235,126.55555555555556,89176.0,,,106.96153846153842,13.0,2535.0,2617.207792207793,,181.0909090909091,,,,,,,,,,111029.98050119814,436.4,1210300.0,0.09173756961183024
1999,IA,35648.65758754864,22998.420118343198,171222.7457627119,6148.642857142857,167017.64646464642,26252.803921568622,48234.51282051281,,7022.377118644069,196.66666666666663,28728.84324324324,114744.08695652171,132392.33333333326,,,,,,,,760607.7368508833,489.0,2917634.0,0.26069333468518785
1999,ID,34883.406504065024,9928.0,76666.09090909091,512922.65217391297,56265.73333333331,154907.25423728814,534259.534883721,,16250.713235294112,23188.5,3382.1428571428564,16275.071428571424,,,,,,,,,1438929.0995624198,445.9,1275674.0,1.1279755639469173
1999,IL,27180.16705118962,51160.22666666665,118768.06357856494,12245.333333333328,64739.156,15848.096698113208,65390.663551401834,,4903.154978038066,8789.2,27285.32210242588,167202.2027027027,1096203.875,,,5747.0,,,,,1665462.4616624361,494.8,12359020.0,0.13475683845988082
1999,IN,35906.428661174534,20353.741562932228,185361.32734952486,1291.7839506172845,89140.92682926828,16192.912751677857,57639.25925925924,,7285.087388625592,37464.4210526316,25509.282660332534,146338.26056338026,51983.10526315789,,74188.75,,,,,,748655.2872925822,466.7,6044969.0,0.12384766361789154
1999,KS,25222.168316831674,20372.68862275449,321295.18421052623,193.75757575757572,41659.64210526316,12203.737373737373,217953.65,,5535.238636363636,81194.58333333331,3725.6187050359713,115563.66666666664,,,40352.20689655172,,,,,,885272.1424428218,468.3,2678338.0,0.3305304044683015
1999,KY,48469.61593682697,72332.34700315454,122445.85420944555,5828.583333333331,46961.13736263735,7805.550143266473,60034.07936507936,,7448.047577854665,99018.1666666666,32620.339331619525,46073.51824817518,,,,,,,,,549037.2391780595,519.6,4018053.0,0.13664260754600785
1999,LA,34523.366729678644,38534.83333333334,211335.21224489796,1710.9880952380954,35924.794117647056,24447.248818897635,54720.86792452834,,8956.199152542371,299.2666666666665,27656.77726574501,70794.66,261268.6071428572,,361205.12030075205,,,,,,1131377.9417927845,493.2,4460811.0,0.25362606525871295
1999,MA,10571.51299589603,30122.763779527555,96179.04010695186,113.42857142857142,124368.19277108432,1302.612403100775,,,1551.1677675033027,,55885.52959501559,468.6363636363637,,,,,,,,,320562.88435414433,515.4,6317345.0,0.050743292372688896
1999,MD,99402.88315217386,10995.714285714284,63699.81333333334,844.8,173063.1940298507,29995.536842105255,2366.6190476190477,11566.666666666662,3329.296875,15276.5,70940.97902097902,98513.2608695652,,,,,,,,,579995.2641230074,498.9,5254509.0,0.11038048733440316
1999,ME,32113.849765258205,11910.68,43151.211538461546,6527.5,55410.260869565216,8276.463636363631,31.666666666666664,,4044.413407821229,,5899.444444444446,24430.70833333333,13535.9,,,,,,,,205332.09866191423,511.3,1266808.0,0.16208620300938598
1999,MI,31576.606976744195,234477.3880368097,153383.68215725804,1523.1538461538462,125512.54876839506,3435.1170028818433,76952.50769230771,,3579.191097372486,4402.8,163871.15829528152,63738.611111111124,86071.57317073173,,73482.6857142857,,,,,,1022007.0238693329,523.2,9897116.0,0.10326311461534177
1999,MN,17208.93668435013,10115.359649122807,69495.99264705883,40.0,194795.41139240505,18105.958762886592,302455.65,,5803.008278145695,16850.125,34584.723880597005,120903.0,22125.0,,,,,,,,812483.1662945661,467.6,4873481.0,0.16671516033294603
1999,MO,31555.152766695577,26455.348785871964,144857.43765281176,346857.0921052632,76801.55868544603,18608.122340425525,712346.9076923076,,5178.324551111109,16714.5,49203.774436090214,54754.794871794875,9771.428571428572,,,,,,,,1493104.4424592466,478.3,5561948.0,0.2684499104377183
1999,MP,253.9,,,,,,,,84.8,,,,,341.2,,,341.2,,,,1021.0999999999999,,,
1999,MS,57090.487294469356,37820.60427807487,141275.3625,8866.086956521738,119333.11428571428,63098.400862068964,207573.1290322581,,11272.391447368418,10712.5,21429.88888888889,35009.826086956506,679.8333333333337,,640520.1538461539,,,,,,1354681.7788118082,,,
