Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'1999','Virginia','All Types of Cancer','435','430','440.1','28784','7000174'
'1999','Colorado','All Types of Cancer','449.6','442.6','456.6','16136','4226018'
'1999','Georgia','All Types of Cancer','446.2','441.1','451.2','30356','8045965'
'1999','Hawaii','All Types of Cancer','436.4','424.8','448.3','5372','1210300'
'1999','Idaho','All Types of Cancer','445.9','433.9','458.2','5214','1275674'
'1999','North Carolina','All Types of Cancer','442.2','437.5','446.9','34430','7949361'
'1999','Oklahoma','All Types of Cancer','457.3','450.3','464.5','16100','3437147'
'1999','Texas','All Types of Cancer','468.8','465.5','472','80623','20558220'
'1999','Wyoming','All Types of Cancer','471.9','452.3','492','2205','491780'
'1999','California','All Types of Cancer','466.4','463.9','468.9','136370','33499204'
'1999','Indiana','All Types of Cancer','466.7','461.2','472.2','27779','6044969'
'1999','Kansas','All Types of Cancer','468.3','460.2','476.5','12671','2678338'
'1999','Minnesota','All Types of Cancer','467.6','461.4','473.9','21929','4873481'
'1999','Missouri','All Types of Cancer','478.3','472.6','483.9','27706','5561948'
'1999','North Dakota','All Types of Cancer','461.1','445.1','477.6','3186','644259'
'1999','Pennsylvania','All Types of Cancer','502.5','498.8','506.2','70881','12263805'
'1999','Rhode Island','All Types of Cancer','539.7','526.2','553.5','6118','1040402'
'1999','South Carolina','All Types of Cancer','483.9','477','490.9','18879','3974682'
'1999','South Dakota','All Types of Cancer','null','null','null','Data Suppressed','null'
'1999','Vermont','All Types of Cancer','515.6','497.8','533.8','3186','604683'
'1999','Washington','All Types of Cancer','517.8','511.7','523.8','28175','5842564'
'1999','West Virginia','All Types of Cancer','502.3','492.8','512.1','10542','1811799'
'1999','Wisconsin','All Types of Cancer','496.1','490.2','502.1','26904','5332666'
'1999','Alaska','All Types of Cancer','505.9','481.4','531.3','1966','624779'
'1999','Arkansas','All Types of Cancer','null','null','null','Data Suppressed','null'
'1999','Connecticut','All Types of Cancer','516.3','508.9','523.8','18697','3386401'
'1999','Delaware','All Types of Cancer','503.2','487.6','519.2','3972','774990'
'1999','District of Columbia','All Types of Cancer','534.6','515.5','554.2','2982','570213'
'1999','Florida','All Types of Cancer','512.1','508.9','515.4','100261','15759421'
'1999','Illinois','All Types of Cancer','494.8','490.8','498.8','58868','12359020'
'1999','Iowa','All Types of Cancer','489','481.3','496.7','15807','2917634'
'1999','Kentucky','All Types of Cancer','519.6','512.6','526.7','20889','4018053'
'1999','Louisiana','All Types of Cancer','493.2','486.5','500','20442','4460811'
'1999','Maine','All Types of Cancer','511.3','499.5','523.3','7174','1266808'
'1999','Maryland','All Types of Cancer','498.9','492.7','505.1','24810','5254509'
'1999','Massachusetts','All Types of Cancer','515.4','510','521','33909','6317345'
'1999','Michigan','All Types of Cancer','523.2','518.6','527.8','50676','9897116'
'1999','Mississippi','All Types of Cancer','null','null','null','Data Suppressed','null'
'1999','Montana','All Types of Cancer','486.9','472.9','501.3','4592','897507'
'1999','Nebraska','All Types of Cancer','485.3','475.1','495.8','8537','1704764'
