STATE_ABBR,REPORTING_YEAR,CATEGORY,SUM_REL_EST,AVG_REL_EST,MIN_REL_EST,MAX_REL_EST,STD_REL_EST,VAR_REL_EST
NJ,2006,AIR STACK,10306798.08,9129.13913,0.0000014,2800000,117954.9969,13913381299
MS,2006,AIR STACK,21277618.73,30792.50179,0.0000018,1900000,152724.5605,23324791379
AR,2006,WASTE TREATMENT,5258658.5,19476.51296,0.1,676050,78630.64561,6182778429
GA,2006,WASTE TREATMENT,4617144.722,18394.99889,0.1779,1366860,97938.75683,9592000089
MN,2006,AIR STACK,9171648.571,11758.52381,0.0000046,443205,36798.12629,1354102098
IN,2006,POTW NON METALS,15122615.85,70998.19648,0.04,5200000,420209.8944,1.76576E+11
ID,2006,SI 5.5.3B,9001941,200043.1333,0.4,5800559,875085.3289,7.65774E+11
NM,2006,OTH LANDF,5657879.92,137997.0712,0.64,2600000,430103.4916,1.84989E+11
IN,2006,OTH LANDF,20371604.31,145511.4594,0.001323,4900000,597759.0756,3.57316E+11
NH,2006,WATER,91225.81624,2073.314005,0.00139,66616,10295.9801,106007206.2
KY,2006,OTH DISP,518690.43,6403.585556,0.01,116788,22860.19059,522588313.7
HI,2006,WATER,358265.6,8956.64,0.1,260000,42116.80651,1773825390
WI,2006,LAND TREA,1226420,72142.35294,5,626165,150229.9222,22569029511
WI,2006,SI 5.5.3A,102484,51242,43610,58874,10793.27791,116494848
HI,2006,ENERGY RECOVERY,576.18,25.05130435,0.01,250,71.15996189,5063.740175
MT,2006,POTW NON METALS,63116,9016.571429,14,45500,16551.40601,273949041
MT,2006,ENERGY RECOVERY,334529.24,47789.89143,4,89113,44903.80716,2016351897
IA,2006,LAND TREA,939000.4,156500.0667,1.4,934209,381001.4708,1.45162E+11
WY,2006,RCRA C,3986,3986,3986,3986,0,0
IA,2006,UNINJ I,7,7,7,7,0,0
GA,2006,RCRA C,5,5,5,5,0,0
WI,2006,TOTAL OFFSITE RELEASE,19954342.86,6304.689688,0,3621030,80140.23996,6422458061
CT,2006,TOTAL OFFSITE RELEASE,1488883.869,1364.696488,0,399821.7261,12933.26913,167269450.5
MN,2006,POTW RELEASE,271381.3191,169.8256064,0,223334,5634.457133,31747107.18
GU,2006,POTW RELEASE,0,0,0,0,0,0
MO,2006,POTW TREATMENT,4952161.972,2228.695757,0,1300000,33126.24196,1097347907
TN,2006,POTW TREATMENT,3758251.335,1607.464215,0,590000,20661.84885,426911998.1
MD,2006,POTW TREATMENT,3616213.924,4415.401616,0,3370000,117794.5826,13875563679
WV,2006,POTW TREATMENT,1935234.257,1836.085633,0,572553,26513.7553,702979220.2
OH,2006,POTW TREATMENT,16726376.03,2684.811562,0,3132215,47342.44431,2241307033
MS,2006,POTW TREATMENT,2135719.352,1790.209012,0,1722686,50157.42848,2515767632
SC,2006,TOTAL ONSITE RELEASE,63422433.57,27360.84278,0,3136329,167093.7417,27920318523
ID,2006,TOTAL ON OFFSITE RELEASE,66674851.87,189956.8429,0,21955078,1330412.41,1.77E+12
